EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName
11266021,2020-06-29T01:38:54,-1.8549,100.8012,78.12,us,NEIC PDE,us,us7000ahgd,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11267275,2020-06-29T17:40:10,-0.3825,100.652,34.11,us,NEIC PDE,us,us7000ahgu,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11273689,2020-07-03T08:47:15,-3.3404,100.9372,38.11,us,NEIC PDE,us,us7000akqk,mb,4.5,us,"SOUTHERN SUMATRA, INDONESIA"
11267759,2020-07-09T17:01:05,-2.0697,101.9631,189.78,us,NEIC PDE,us,us7000akvw,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11273303,2020-07-09T20:40:21,-3.5504,101.8303,71.17,us,NEIC PDE,us,us7000apiu,mb,4,us,"SOUTHERN SUMATRA, INDONESIA"
11268895,2020-07-11T20:54:32,-4.7265,102.7487,61.37,us,NEIC PDE,us,us7000am1i,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11269048,2020-07-12T06:27:08,-5.1936,102.3645,35,us,NEIC PDE,us,us7000am6w,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11276028,2020-07-16T14:47:30,-4.3959,101.9318,38.64,us,NEIC PDE,us,us6000b2qk,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11274711,2020-07-16T21:44:27,-3.7256,101.7398,46.75,us,NEIC PDE,us,us6000b2qs,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11276069,2020-07-19T14:01:28,-3.2279,101.6886,49.27,us,NEIC PDE,us,us6000b3ga,mb,4.1,us,"SOUTHERN SUMATRA, INDONESIA"
11272503,2020-07-19T23:48:44,-3.3916,100.1174,10,us,NEIC PDE,us,us7000arda,mb,4.5,us,"SOUTHERN SUMATRA, INDONESIA"
11295648,2020-07-21T12:28:48,-5.092,103.7255,92.69,us,NEIC PDE,us,us6000b55y,mb,4,us,"SOUTHERN SUMATRA, INDONESIA"
